date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:07	236/236	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202026%2001:26:39%20GMT	https://studiopixel.jp/robots.txt		(from )
20:31:07	1308/1308	---M--	200	added ('OK')	text/html	etag:%2251c-649ee3e81c500%22	https://studiopixel.jp/amechoga/	D:/Raad/personal/vidya/pixel/minipix/amechoga/studiopixel.jp/amechoga/index.html	(from )
20:31:08	1330/1330	---M--	200	added ('OK')	text/css	etag:%22532-644c9d3099600%22	https://studiopixel.jp/amechoga/style.css	D:/Raad/personal/vidya/pixel/minipix/amechoga/studiopixel.jp/amechoga/style.css	(from https://studiopixel.jp/amechoga/)
20:31:08	45596/45596	---M--	200	added ('OK')	image/png	etag:%22b21c-644ef03176000%22	https://studiopixel.jp/amechoga/thumb-twtr1.png	D:/Raad/personal/vidya/pixel/minipix/amechoga/studiopixel.jp/amechoga/thumb-twtr1.png	(from https://studiopixel.jp/amechoga/)
20:31:08	2793/2793	---M--	200	added ('OK')	image/png	etag:%22ae9-644c8bfa9fb00%22	https://studiopixel.jp/amechoga/Title.png	D:/Raad/personal/vidya/pixel/minipix/amechoga/studiopixel.jp/amechoga/Title.png	(from https://studiopixel.jp/amechoga/)
20:31:08	682/682	---M--	200	added ('OK')	text/html	etag:%222aa-6469eb5415a00%22	https://studiopixel.jp/amechoga/comic0100.html	D:/Raad/personal/vidya/pixel/minipix/amechoga/studiopixel.jp/amechoga/comic0100.html	(from https://studiopixel.jp/amechoga/)
20:31:09	5608/5608	---M--	200	added ('OK')	image/png	etag:%2215e8-6469e3815e500%22	https://studiopixel.jp/amechoga/thumb0100.png	D:/Raad/personal/vidya/pixel/minipix/amechoga/studiopixel.jp/amechoga/thumb0100.png	(from https://studiopixel.jp/amechoga/)
20:31:09	735/735	---M--	200	added ('OK')	text/html	etag:%222df-64883e4fd8700%22	https://studiopixel.jp/amechoga/comic0500.html	D:/Raad/personal/vidya/pixel/minipix/amechoga/studiopixel.jp/amechoga/comic0500.html	(from https://studiopixel.jp/amechoga/)
20:31:09	4492/4492	---M--	200	added ('OK')	image/png	etag:%22118c-648971a5fa000%22	https://studiopixel.jp/amechoga/thumb0500.png	D:/Raad/personal/vidya/pixel/minipix/amechoga/studiopixel.jp/amechoga/thumb0500.png	(from https://studiopixel.jp/amechoga/)
20:31:09	985/985	---M--	200	added ('OK')	text/html	etag:%223d9-6489713389200%22	https://studiopixel.jp/amechoga/comic0800.html	D:/Raad/personal/vidya/pixel/minipix/amechoga/studiopixel.jp/amechoga/comic0800.html	(from https://studiopixel.jp/amechoga/)
